table_schema,table_name,rls_enabled,rls_forced
auth,audit_log_entries,TRUE,FALSE
auth,custom_oauth_providers,FALSE,FALSE
auth,flow_state,TRUE,FALSE
auth,identities,TRUE,FALSE
auth,instances,TRUE,FALSE
auth,mfa_amr_claims,TRUE,FALSE
auth,mfa_challenges,TRUE,FALSE
auth,mfa_factors,TRUE,FALSE
auth,oauth_authorizations,FALSE,FALSE
auth,oauth_client_states,FALSE,FALSE
auth,oauth_clients,FALSE,FALSE
auth,oauth_consents,FALSE,FALSE
auth,one_time_tokens,TRUE,FALSE
auth,refresh_tokens,TRUE,FALSE
auth,saml_providers,TRUE,FALSE
auth,saml_relay_states,TRUE,FALSE
auth,schema_migrations,TRUE,FALSE
auth,sessions,TRUE,FALSE
auth,sso_domains,TRUE,FALSE
auth,sso_providers,TRUE,FALSE
auth,users,TRUE,FALSE
backfill,webforms2_tra_raw,FALSE,FALSE
coreg,coreg_leads,FALSE,FALSE
coreg,coreg_sales,FALSE,FALSE
cron,job,TRUE,FALSE
cron,job_run_details,TRUE,FALSE
mc_auth,mc_commanders,FALSE,FALSE
mc_auth,mc_login_throttle,FALSE,FALSE
public,coreg_facts,TRUE,TRUE
public,dra+db_bogo_fb--rr,TRUE,FALSE
public,dra+db_carbonari--rr,TRUE,FALSE
public,dra_5-0,TRUE,FALSE
public,dra_coreg_all,TRUE,FALSE
public,dra_direct,TRUE,FALSE
public,dracoreg2026,TRUE,FALSE
public,easyfn_5-0,TRUE,FALSE
public,gt+tra_eminem_tt--rr,TRUE,FALSE
public,gt_5-0,TRUE,FALSE
public,myprecious,TRUE,FALSE
public,tra+gt_illuminati--rr,TRUE,FALSE
public,tra_5-0,TRUE,FALSE
public,tra_coreg2026,TRUE,FALSE
public,tra_coreg_all,TRUE,FALSE
public,tra_direct,TRUE,FALSE
public,tra_forms_all,TRUE,FALSE
public,watchlist_campaigns,TRUE,FALSE
public,zzzmastermonitorlizard,TRUE,FALSE
realtime,messages,TRUE,FALSE
realtime,schema_migrations,FALSE,FALSE
realtime,subscription,FALSE,FALSE
sales,case_snapshots,TRUE,FALSE
sales,cases,TRUE,FALSE
sales,contacts,TRUE,FALSE
sales,logics_metadata,TRUE,FALSE
storage,buckets,TRUE,FALSE
storage,buckets_analytics,TRUE,FALSE
storage,buckets_vectors,TRUE,FALSE
storage,migrations,TRUE,FALSE
storage,objects,TRUE,FALSE
storage,s3_multipart_uploads,TRUE,FALSE
storage,s3_multipart_uploads_parts,TRUE,FALSE
storage,vector_indexes,TRUE,FALSE
vault,secrets,FALSE,FALSE